DiagnosticCentreName,DiagnosticCentreAddress,CityName
"M/S. Kmct Hospital",CALICUT,Trivandrum
"Symboisis Hospital Lavle,Pune","Address : Gat No.102/1",Pune
"Anasuya Institute Of Medical Sciences, Nellore","#16-2-99, Dr. P.L. Rao Street, Pogathota   Nellore -524001 Tel No. 0861-2326233, 9246423314
M.P. Rajeshwar  Mob 7396317071           aims.nlr@gmail.com
",Hyderabad
"Nirvikar Ayurved Hospital","1st Floor B wing,nashik Highway,Bhosari,Pune",Pune
"Hcg Hospitals  ( A Unit Of Healthcare Global Enterprises Ltd","MITHAKHALI, ELLISBRIDGE, AHMEDABAD-380006 Mr. Dharmesh Goswami MOB-9712396123
E-mail- cpd.hms@hcgel.com, headoperations.hms@hcgel.com",Ahmedabad
"Global Hospital & Eyecare","CENTRE, 322/24 BAI KA BAGH, PRAYAGARAJ",Prayagraj
"Sanjeevani Dental Care","E20/64, Near Remal Public School, Sector3, Rohini, Delhi110085.",DELHI/HQ/DIRECTORATE/MINISTRY
"Anand Hospital & Eye Centre","21, Bharat Mata Lane, JLB Marg 
",Jaipur
"Dentistium Multispeciality Dental Clinic","216, SHEETAL WESTPARK IMPERIA, VASTRAPUR, AHMEDABAD-380015.DR. GUNJAN MODI
MOB-9726755207/9978032007,E-mail-info@dentistium.in",Ahmedabad
"M/S. Best Vision Eye Hospital.(A Unit Of Sri Nayana Eye Hosp","H.No. 279, Metro Pillar No. 1729, Boppana's Annapurna Argade, Madhapur Road, Hyderabad.  Mail Id: bestvisionacc@gmail.com contact person:D",Hyderabad
"Elantis Healthcare","29 Righ Road Lajpat Nagar-4 New Delhi 110024 Nodal Officer Jessy Johnson Mob. 9810806409 Email- jessyjohnson@elentiscare.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Galaxy Multispeciality Hospital","Royal Park, More, near Wireless, Patulia, Barrackpore, West Bengal 700121",Kolkata
"Vedanta Medical Research Foundation (Balco Medical Centre)","Sector-36, Atal Nagar, Uparawara, Raipur-493661 (C.G.)  Contact No. :- 0771- 2237575 
Mob: 9926986736 Email: siddharth.saxena@vedanta.co.in
",Nagpur
"Ishwar Hospital","Spatu Road Miri Piri Chowk Ambala City Ambala- 134003 Haryana",Chandigarh
"Healthians Labs A Unit Of Expedient Healthcare Markt Pvt Ltd","Plot No 1 and 2 Udyog Vihar Phase IV Gurugram Haryana",DELHI/HQ/DIRECTORATE/MINISTRY
"Centre For Smile","61D, Opp. Old JNU, Behind DDA Market, Ber Sarai, New Delhi110016. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Csi Kalyani General Hospital","15, DR.RADHAKRISHNAN SALAI, MYLAPORE CHENNAI-4 
044-28475870, 044-28473306",Chennai
"Hasija Hospital","32, Milestone, G.T. Karnal Road, Kundly, Sonipat, Haryana. Nodal Officer: Dr. Tarun Aggarwal Mob: 9953646539 Email: hasijahospital@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Bahl Dental Clinic","23A/7B Ground Floor Tilak Nagar New Delhi Tel.No. 9810899666.",DELHI/HQ/DIRECTORATE/MINISTRY
"Vaga Hospitals Pvt. Ltd.","KS-14, Aliganj Housing Scheme, Sitapur Road, Lucknow â 226020.",Lucknow
"Dwarka Hospital,","5/4 K. P. KAKKAR ROAD, ALLAHABAD",Prayagraj
"Anderson Diagnostic Services Pvt. Ltd","150, POONAMALLEE HIGH ROAD, PURASAWALKAM, CHENNAI-84.   044-43539444   
 044-43489444",Chennai
"Jaipur Calgary Eye Hospital","Malviya Nagar, Jaipur-302017",Jaipur
"Sahyadri Super Speciality Hospital Deccan","Plot No. 30 C Lane No 1 Prabhat Road Erandawane Karve Road Pune",Pune
"Dental Destination","H. No. 2300, Sector-16, Faridabad-121002.. Nodal Officer: Atul Gupta, Mob. 70150454886. Email- dr_atulgupta@yahoo.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Surinder Hospital","Naraingarh chowk, Chheharata, Amritsar-143001 Punjab Tel:0183-5161595 Mob:8591018820 Email:surinderhospital@yahoo.com",Chandigarh
"Satya Medical Centre Hospital","A98A, Sector34, Noida  201307. Tel.No.01202507021,01202507020.",DELHI/HQ/DIRECTORATE/MINISTRY
"Krishna Super Spl Hospital","Krishna Super Spl Hospital, 363, Harrisganj, near TatmillChauraha, Kanpur-208004. Ph-232OO61, Fax-2320102, E-mail Id : mail@krishna.hospital.com",Kanpur
"Shpl Sahyadri Super Speciality Hospital Nagar Road","Survey No.185/A, 199,200,A-B 201, Hermes Heritage, Shastri Nagar Yerwada, Pune-411006",Pune
"Janta Maternity Home & Hospital","Jaripatka, Nagpur-440014
0712-2633087, 2632859
jantah@rediffmail.com
",Nagpur
"Goyal Hospital & Research Centre Pvt. Ltd.","961/3, Residency Road, ",Jaipur
"Dr. Bapaye Hospital","Behind N.D.C.C Bank, Old Agra Road, Nashik-422001",Mumbai
"Care Hospital, Visakhapatnam","10-50-11/5, Waltair Main Road, Ramnagar, Visakhapatnam-530 002 Tel.No.0891-6165656",Hyderabad
"Kohakade Hospital","Samrat Ashok Rd, Chandan Nagar Pune, Maharashtra 411014",Pune
"Ab Laser Eye Centre","3rd Floor, Embark Plaza (Next to Aarza Square), Noida Extn. Sector-4 G-West, UP-201009.
Nodal Officer: Sintu Sharma,
Mob. 9311305498
Email- sintuusharma055@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Seven Palm Hospital","Seven Palms Hospital, Next to Pendulkar, Marriage Hall, Mohan Palm Shirgaon, Badlapur, East. MOB. NO 9763036779",Mumbai
"Sarvodaya Hospital A Unit Of Anshu Hospitals Limited","Plot No Pocket 2 GH 03 Sector 16C Gaur City 2 Greater Noida West-, 
Gautam Buddha Nagar-201009, UP
Nodal Officer: 
Saurabh Chaudhary
Mobile No. 9355579692
Email Id 
saurabh@sarvodayahospital.com
",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr. Aggarwals Eye Clinic","F17, Moti Nagar, New Delhi.  Tel. No. 01125462686, 9811069069",DELHI/HQ/DIRECTORATE/MINISTRY
"Maxilife Hospital Pvt Ltd","Opp. Hanuman Mandir Kalyan Ambernath Road, Ulhasnagar - 3",Mumbai
"Sudarshan Netralay Sambhajinagar","Shop No.105/ 106,matrix Business Centre,Kalda Corner,Chh Sambhajinagar-431001",Pune
"Ranjit Hospital (Amritsar)","GT Road, Putlighar, Amritsar,143001, Punjab",Chandigarh
"Neuberg Diagnostics Private Ltd","KEDAR, OPP-KRUPA PETROL PUMP, NEAR PARIMAL CROSS ROAD, ELISBRIDGE, AHMEDABAD-380006 DR. MAHENDRA PARIKH MOB. NO. 9081530088/079-40408181,MR. VISHAL - 7096413546,E-mail- mahendra.parikh@neubergdiag",Ahmedabad
"S. Serum Analysis Center (Private) Ltd","82/4B, Bidhan sarani, Kolkata - 700 004",Kolkata
"Tulsi Dental And Implant Centre","D-833, Saraswati Vihar, Pitampura, Delhi-110034. Nodal Officer: Atishya Arora, Mob. 8700021868. Email- tulsiayurvedic123@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Mahajan Imaging Pvt. Ltd.","C 6/8, Safdarjung Development Area, New Delhi-110016",DELHI/HQ/DIRECTORATE/MINISTRY
"Nav Jeevan Hospital","Near Apex Tower, 447/1, Mangal Pandey Nagar, Meerut",Meerut
"Krishna Cancer Hospital","60 Sahyog Vihar Near Sahapura Police Station E -8 Ext Bhopal MP - 462039",Bhopal
"Dr. Lal Pathlabs Pvt. Ltd. Vasundhara","Ground Floor, Plot No. C-20, Sector-15, Near SBI, Vasundhara Ghaziabad, UP
Nodal Officer Details
Mr. Jintendra Sharma
Mob. 8527999141
sharma.jitendra@lalpathlabs
",DELHI/HQ/DIRECTORATE/MINISTRY
"Saral Diagnostic And Imaging Centre","H -10, Kamla Park Square, 
VIP Main Road, Bhopal (M.P) 
PIN - 462001
Phone: - 0755-4225514-15,  9981764463
Email-saraldiagnosticbhopal@gmail.com
",Bhopal
"Maskara Finvest Pvt. Ltd.","142A, Betiahata Rd, Betiahata, Gorakhpur, Uttar Pradesh 273001",Lucknow
"Vedanta Imaging And Diagnostics,","A Unit of Gaurav Diagnocare Pvt. Ltd. 12/434, Vasundhara Ghaziabad-201012. 
Nodal Officer: S.N. Verma, 
Mob. 9718901161
Email. vedantadiagnostics123@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Purvanchal Dental Clinic","Shop No.3 Mushir Market, Matin Purwa, Khurram Nagar, Lucknow-226022",Lucknow
"Dr. MathurâS Dental Clinic","14, Naval Kishore Rd, near CBI Office, Hazratganj, Lucknow, Uttar Pradesh 226001",Lucknow
Dentoral,"E-2-11-B ARERA COLONY OPP TO HABIBGANJ RAILWAY STATION NEAR HOTEL SHUBH INN BHOPAL MP - 462016",Bhopal
"Delhi Heart And Lung Institute","3 MM II, Panchkuian Road, New Delhi 110055.   Tel. No 01142999999.",DELHI/HQ/DIRECTORATE/MINISTRY
"Eye- Q Vision Pvt. Ltd","B-60, Near India Overseas Bank, Aliganj, Lucknow- 226024",Lucknow
"Global Hospital, Jalandhar","10, Link Road, Model Town, Jalandhar-144003 Punjab",Chandigarh
"Dr. K.K.B.M Subharti Hospital","Subhartipuram, Phase II, Jhajra, Chakrata Road, Dehradun-248007",Dehradun
"Asg Hospital Pvt Ltd","M.A. Plaza, S K Colony, Sector 01, Near Ansari House, Main Qammarwari Road, Srinagar, Jammu ",Chandigarh
"Sri Sri College Of Ayurvedic Science And Research Hospital","insurance@ssach.org ",Bengaluru
"Sumitra Hospital","A119A, Sector35, Noida  2013001.  Tel. No. 0120 2507625.  ",DELHI/HQ/DIRECTORATE/MINISTRY
"Maharishi Markandeshwar Institute Of Medical Sciences","Mullana (Ambala)-133207, Haryana",Chandigarh
"Nikhil Hospitals, Dilsukhnagar","Gaddi Annaram Cross Road, Dilsukh Nagar Main Rd, Dilsukhnagar, Hyderabad, Telangana 500036
Tel. No. : 040 - 41891999 ;",Hyderabad
"Sewa Hospital And Research Centre (A Unit Of Bora Polyclinic","NH-24, Sewa Nagar, Sitapur Road, Lucknow-226201",Lucknow
"Vijaya Diagnostic Centre, Nellore","ISKA TOWERS,BESIDE SAI BABA TEMPLE,POGATHOTA,NELLORE-524001.TEL:-0861-2353638",Hyderabad
"Gupta Multispeciality Dental Clinic","QU132 B, Pitampura, New Delhi110034.",DELHI/HQ/DIRECTORATE/MINISTRY
"National Cancer Institute","Khasara No. 25, Outer Hingna Ring Road, Mouza- Jamtha, Nagpur-441108 (Maharashtra) mgr.cs@ncinagpur.in",Nagpur
"Hope Hospital,","200, W.K. Road, opp. Tyagi Hostel, Meerut Phone NO. 9837020820",Meerut
"Dr Aggarwal Eye Hospital","D.No.12-1-16,Nagar Chambers,Plot No-49,Sl No 1051,Prakasarao pet,Waltair Main Road,Visakhapatnam-530002",Hyderabad
"Madhulok Hospital","128/628-629, K Block, Kidwai Nagar, Kanpur, Uttar Pradesh 208011
Ph. 0512-2641400, 8736919050",Kanpur
"Vimal Eye Hospital (Unit Of Vimal Nursing Home)","Main Road Adhartal, Jabalpur Tel No.:- 8236834614",Jabalpur
"Navneesh Dental Clinic","B3/1B, Safdarjung Enclave, New Delhi. Tel.No. 01126162737. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Bhartia Dental Clinic","A-37 HOUSING BOARD COLONY KOH-E-FIZA, BHOPAL (M.P.) - 462001",Bhopal
"Jain Dental Hospital","Tulsi Nagar, Near Choudhary Petrol Pump",Jaipur
"Planet Dental Clinic","SHOP NO. 8,9 MG MARG CIVIL LINES, PRAYAGARAJ, UTTAR PRADESH",Prayagraj
"Ramole Eye Hospital","Opp. Sant Andraya Church, Sharanpur - Trimbak Link Road, Canada Corner, Nashik - 422005",Mumbai
"Gujarat Kidney And Super Speciality Hospital","NEW INDIA MILL COMPUND OVER JETAKPUR BRIDGE JETALPUR ROAD VADODARA 390021 GUJARAT.Mr.Litul kansara-Mob-9428419245, E-mail- gujaratkidneyhospital1@gmail.com",Ahmedabad
"Yashaman Hospital","21, Kishore Marg Mandore Road Jodhpur",Jaipur
"New Best Care Dental Clinic","SHOP No.15,16,Pratap Plaza Sector-B, LDA colony, near Jwala Mandir, Bargawan, Ashiyana, Lucknow, Uttar Pradesh 226012",Lucknow
"Seth Mannulal Jagannathdas Trust Hospital & Research Centre","Dixitpura Jabalpur, Tel.No.2650632, 2653973",Jabalpur
"Kenia Eye Hospital","1st floor, Rizvi Nagar, Next to Milan, Milan Subway, S.V.Road, Santacruz, Mumbai-400054, 022-26144013/38088",Mumbai
"Sardana Eye Institute","A2/19, Rajouri Garden, New Delhi.  Tel. No. 01125436366, 25459313.",DELHI/HQ/DIRECTORATE/MINISTRY
"Sahyadri Super Speciality Hospital, Deccan","Plot No.30-Cerandwane,Deccan Gymkhana,Karve  Road,Pune-411004",Pune
"Vinod Ortho And Genesis Ivf Clinic","6-Inder Road, Dalanwala, Dehradun",Dehradun
"Shraddha Hospital, Pimple Gurav","S.No.94/1/B/1/2jai Bhavani Nagar,Pimple Gurav,Pune-411061",Pune
"Sevadham Hospital","Samsan Nagar, Telegaon Dabhade (station), Tal-Maval, Dist- Pune-410507",Pune
"Wockhardt Hospital","1877, Dr.Anand Rao Marg, Mumbai Central-400011, 022-61784444",Mumbai
"Sarvodaya Hospital","YMCA Road, Sector8, Faridabad121006. Tel.No.  0129 4194444.",DELHI/HQ/DIRECTORATE/MINISTRY
"Shri Sai Hospital Heart Unit (A Unit Ofakhilesh Kumar Singh)","E-143, Doctors Colony, South of Malahi Pakri Chowk, Kankarbagh, Patna-800020",Patna
"Shri Ram Hospital","B-14, Shankar Garden Vikas Puri New Delhi 110018",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr. Agarwals Heatlh Care Ltd,","Rene Tower, 1st Floor, Plot - AA1, 1842, Rajdanga Main Road, Kolkata - 700 107",Kolkata
"Vision Eye Care And Laser Centre                       W.E.F. 01-11-2018","48, Near Radha Govind Mandap, Garh Road, Meerut                    Ph.No.0121-2602786",Meerut
"M/S. Sree Gokulam Medical College Hospital,","Venjaramoodu, Thiruvananthapuram",Trivandrum
"Advanced Imaging Point","Nikalas Towers, Next to Tarun Bharat Press, Central Bazar Road, Ramdaspeth, Nagpur-440010.
0712-2440872, 2430191, 2430193, 6637888
Imaging_point@yahoo.com
",Nagpur
"M/S. Comtrust Charitable Trust Eye Hospital,","Puthiyara, Calicut",Trivandrum
"Chopra Eye Hospital","House No.3, BlockC, Pocket8, Sector7, Rohini, New Delhi  110085. Tel.No. 011 2704 3500,.",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr.Agarwal’S Eye Hospital Ltd - Perambur","B-63, SIVA ELANGO SALAI, 70 FEET ROAD PERIYAR NAGAR, CHENNAI-82.
044-25507755
044-43515787 
",Chennai
"Asian Dwarkadas Jalansuper-Speciality Hospital","Bertand( Near City Centre) Dhanbad - 826001",Ranchi
"Fortis Hospitals Ltd.","Neelam Bata Road, Faridabad  121001. Tel. No. 01292466000, 90152998.",DELHI/HQ/DIRECTORATE/MINISTRY
"Laxmi Diagnostic Centre","112/344A, Mall Rd, Chat Chauraha,R.K.Devi Hospital, Khalasi Line, Swaroop Nagar, Kanpur, Uttar Pradesh 208001",Kanpur
"Fusion Diagnostics And Imaging Centre","LLP, NH-3, GH-1 Sector-4, Gaur City-1, Greater NOIDA.
Nodal Officer: Mr. Manish Bhamar, Mob. 9220520707
Email. admin@fusiondiagnostics.in 
",DELHI/HQ/DIRECTORATE/MINISTRY
"Sainath Hospital","Sant Nagar, Sector 4 Pune- Nasik Highway, Moshi Pradhikaran, Moshi Pune - 412105",Pune
"Baroda Heart Institute & Research Centre (A Division Of Shri Ram Krupa Medicare Pvt. Ltd.)","44, Old Padra Rd, Haribhakti Colony, Paris Nagar, Diwalipura, Vadodara, Gujarat 390007",Ahmedabad
"Ram Kalyan Pathak Hospital Agra","Tajnagri Phase-II, 100 ft. Road, Agra-282005",Lucknow
"Millennium Special Lab Pvt Ltd","Ground Floor, Shree Satyam Co. Op. Premises, Next to PNB, M.G. Road, Naupada, Thane (W) 400602",Mumbai
"Kims Hospital Enterprises Pvt., Ltd., Kondapur","1-112/86, Survey No.55/EE, Kondapur village,Serilingampally, Hyderabad-500084, Tel.No.040-67505050             ",Hyderabad
"Kukreja Hospital & Heart Centre Pvt. Ltd.","C, 1, 3,4,14, Vishal Enclave, Rajouri Garden, New Delhi110027.  Tel. No. 01145675000.",DELHI/HQ/DIRECTORATE/MINISTRY
"Perfect Imaging And Diagnostic Centre","Plot No. 01, Grenade Marg, HP ",Jaipur
"Rajeshwar Hospital","Near Bahadurpur Flyover, Main Road, Kankarbagh, Patna - 800 020.
Dr. U.S. Singh (MS), 8877700023 and Mr. Prashant Corporate Manager, 9835433365, info@rajeshwarhospital.com",Patna
"Parvathy Ortho Hospital Pvt. Ltd","241, GST ROAD, CHROMPET, CHENNAI-44
044-22382248
044-22383456
",Chennai
"Amaravathi Dental Hospital, Guntur","13-7-72, 6th Lane, Gunturuvari Thota, Guntur - 522001. Tel. No. 0863- 2213434 ",Hyderabad
"S.M.M. Eye Welfare Charitable Trust","2163-C, Chintaman Nagar, Near Rajiv Nagar, Somalwada, Nagpur-440025",Nagpur
"Tx Hospitals, Uppal","#2-6-71, Near Masjid, Bharat Nagar colony,  Uppal, Hyderabad - 500039   Tel No.  040- 43108108   Mob 8019666725	Sri Gasper David  contact@txhospitals.in   david.gasper@txhospitals.in   Mob 8019666725
",Hyderabad
"Delhi Mri Scan","M-2 Hauz Khas Main Aurobindo Marg New Delhi 110016 Nodal Officer Mr A Kumar Mob 9873494949 Email info@delhimri.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Mahavir Cancer Institute","PHULWARISHARIF, PATNA - 801505 
Mr. Pintu Kumar Sharma, 9308408146, drjksingh147@hotmail.com",Patna
"Mahatma Gandhi Mission (M.G.M) Hospital Belapur"," PLOT NO 1 , SECTOR NO, 1A, Sector 1A, CBD Belapur, Navi Mumbai, Maharashtra 400614
Mob 7607602108 02235142400",Mumbai
"Kamineni Hospitals (Kamineni Hospitals Pvt. Ltd.,)","Survey No.68, Mansoorabad Road, LB Nagar, Hyderabad-500068, Tel.No.040-27206777, 24022272                         ",Hyderabad
"M.D. Eye Care And Laser Centre","M165, Ground Floor, Greater Kailash, PartII, New Delhi  110048. Tel.No. 011 2922 8101.",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr Lalpathlabs Ltd","HS Tower, First Floor, Hoshiarpur Road, Rama Mandi, Vill. Ladhewali, Jalandhar- Punjab
Mob:9805689426
Email:manjit.kumar@lalpathlabs.com
",Chandigarh
"Deep Hospital","Khatipura Road Jaipur",Jaipur
"Criticare Lifeline Hospital","Sector -19 Plot No 85 Near White Flag Building Kamothe Navi Mumbai 410209",Mumbai
"Mayom Hospital","DBlock, South CityI, Gurgaon.Tel. No. 01244111880, 9899247437.",DELHI/HQ/DIRECTORATE/MINISTRY
"Kk Spiral Ct Scan & Diagnostic Center","3-4-5 Parmanand Complex, Opp Indora Chowk Police Station, Kamptee Road, Nagpur-440017.

0712-2645315, 9823054511
singhsspiralct@gmail.com
",Nagpur
"Chandan Diagnostic Centre (A Unit Of Chandan Health Care Ltd.)","56, New Road, MKP Chowk, Dehradun.",Dehradun
"Healing Tree Hospital (A Unit Of Manjusha Healthcare P. Ld.)","30/1, Shakti Khand-III, Indirapuram, Ghaziabad Nodal Officer: Mahesh Kumar Munjal, Mob: 9810254333, 9910234953 healingtreehospital
@gmail.com, Healingtreehospital.tpadesk@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Guru Nanak Mission General Hospital, Amritsar","Maqboool Pura, Mehta Road, Amritsar-143001
Ph. 0183-5094452, Mb No. 98723-44452",Chandigarh
"Cellcure Cancer Centre Private Limited","Plot No 3A, Ground Floor, Saket Towers AB Road, Ratlam Kothi, near Geeta Bhawan, Square, Indore, Madhya Pradesh 452001",Bhopal
"Swarup Eye Centre (A Unit Of Swarup Hospitals Pvt., Ltd.,)","# 145, Dwarakapuri colony, Panjagutta. Hyderabad-500 082, Tel.No.040-23354558 ",Hyderabad
"Hosp9p129757  Jeevan Jyoti Hospital","M-62, Sector-12, Pratap Vihar, Near Santosh Medical College Road, Ghaziabad-201009.
Nodal Officer: 
Ramjee Ram
Mob. No. 9958061200
jeevanjyotihospital2009@gmail.com

",DELHI/HQ/DIRECTORATE/MINISTRY
"Irene Hospital","DD23, Kalkaji Extension, Near Post Office, New Delhi  110019.",DELHI/HQ/DIRECTORATE/MINISTRY
"Dhakne Hospital Talegaon Dhabade","Shop No.6,7,Near Bank of India, Shantai City Centre, Station Road, Talegaon Dhabade, Dist.Pune",Pune
"Priyamvada Birla Aravind Eye Hospital","10, Dr. U. N. Brahmachari Street, Kolkata, West Bengal 700017 ",Kolkata
"Adhunik Dental Clinic","B/10 Shyam Arcade Malviya Chowk Jabalpur Tel .0761-
2413829",Jabalpur
"Makan Hospital","GANGA NAGAR, SANGVI, PUNE 411 027",Pune
"Shri Ram Singh Hospital And Heart Institute.","B-25, 26 and 26A, Swarna Cinema Road, East Krishna Nagar, Delhi-110055.

Nodal Officer: 
Dr. Ashok Singh
Mob. 9811100764
srshhi@gmail.com  
",DELHI/HQ/DIRECTORATE/MINISTRY
"Dube   Surgical   & Dental Hospital","Ghamapur Chowk Jabalpur 0761-2622919,
08817125235",Jabalpur
"Raj Eye Hospital Pvt.Ltd. Gorakhpur","89 Kalepur, Chhatra Sangh Chauraha Cantt. Road, Gorakhpur-273001",Lucknow
"Platinum Imaging Centre","9, Dayanand Vihar, New Delhi  110092. Tel.No. 01140303333. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr Anubhuti Dental Home","54/E, VINAYAK TRIVENI TOWER, PURUSHOTTAM DAS TANDON MARG, PRAYAGRAJ, UTTAR PRADESH 211001",Prayagraj
"Orange City Hospital And Research Institute","19 ,Pande Layout, Near Veer Sawarkar Square, Nagpur - 440015, Maharashtra",Nagpur
"Jeevan Jyoti Blood Bank & Components","J-12, West High Court Road, Opp. Bank of Baroda, Laxmi Nagar, Nagpur-440022
0712-2231660, 2230876
jjb21@hotmail.com
",Nagpur
"Jindal Eye Hospital","10/62, Chitrakoot Scheme Opp. Pratap Stadium Vaishali Nagar Jaipur",Jaipur
"Centre For Sight ( A Unit Of New Delhi Centre For Sight Pvt., Ltd.,) Kukkatpally","Survey No.126, Plot No.10, Besides MORE Mega Stores, Nizampet X Roads, Kukatpally, Hyderabad-500072, Tel.No.040-40113016",Hyderabad
"Zoi Hospitals, Attapur","#4-8-149/4/2/1, Plot No.11, Attapur, Rajendra Nagar Mandal, Pillar No,145, Ranga Reddy District, Hderabad-500 048 Tel No.040-47201201 Mail:operations@zoihospitals.com	Contact Person : Sri Chinna      ",Hyderabad
"Centre For Sight(A Unit Of  New Delhi Centre For Sight Pvt.","A-31,P. C. COLONY
Kankarbagh
Patna-800020
Bihar",Patna
"Sanjeevani Hospital (A Unit Sukhmani N.H. Pvt. Ltd.)","765/766, Lakhanpur, Awadh Puri Road [Tel: 0512- 2583698,2584887]",Kanpur
"Rama Devi Medical Centre. Pvt. Ltd.","205, Shivkatra Rama Devi G.T Road, Kanpur 208007 Mob No. 7080902022 Email Id. 1980.drtripti@gmail.com",Kanpur
"Dr. K.G Despande Memorial Centre","218,North Bazar Road, Gokulpeth, Nagpur-440010. Tel No. 0712-2533777",Nagpur
"Realtooth Dental Clinic (A Unit Of Arshita Dental Services P","Ground Floor, Greenwood Apartment, Near Redhill School, Gokhle Marg, Lucknow.",Lucknow
"Dr Rai Memorial Medical Centre","NO 526 CENTURY PLAZA ANNA SALAI TEYNAMPET CHENNAI 18",Chennai
"Repose Clinic","20C, Broad St, Ballygunge Park, Ballygunge, Kolkata, West Bengal 700019 ",Kolkata
"Sunshine Eye Care","F4/B, Vashi Road, Above Warna Dairy, Sector-9, Vashi, Navi Mumbai-400703, 022-27652555",Mumbai
"Vinayak Medicare Hospital","Plot No.1424, Bijnor, Lucknow",Lucknow
"Mediversal Maatri (A Unit Of Mediversal Healthcare Pvt. Ltd.","Road 2B, 2B, Rajendra Nagar, Patna, Bihar 800016",Patna
"Plus Care","1st Floor, Plot-135-160, Firuzara Building, Maharshi Karve Marge, Nariman Point, Mumbai.",Mumbai
"Abhishek Hospital","3 B-III, NEAR DHARAM SINGH CIRCLE",Jaipur
"Medanta  Superspeciality Hospital  (A Unit Of Global Health)","Plot No. 8 PU4, Commercial Scheme No. 54, Vijay Nagar Square, A.B Road,
Indore M.P. 452010  
",Bhopal
"Theism Ultra Sound Centre (A Unit Of Theism Ceemec Private L","14B, Dum Dum Rd, near Dum Dum, RBI Staff Quarters, Bir Para, Dum Dum, Kolkata, West Bengal 700030",Kolkata
"Jitendra Narayan Ray Sishu Seva Bhawan","58/1S, Raja Dinendra Street, Kolkata - 700006",Kolkata
"Dr. Rimo Mulitspecialty Dental Clinic","No: 319, C.T.H Road 3rd Street(opp.to Tanishq & Bluestone Jewellery), Avadi, Chennai, Tamil Nadu 600054",Chennai
"Thind Eye Hospital, Jalandhar","701, Mall Road, Model Town, Jalandhar",Chandigarh
"Dr.Agarwals  Health Care Ltd. - Pondicherry","NO 601 NSJ AVENUE KAMARAJ SALAI NEAR RAJIV GANDHI SQUARE PONDICHERRY 605005",Chennai
"Sewa Sadan Eye Hospital (Trust)","Behind Civil Hospital,Sant Hriram Nagar, Bhopal (M.P), 0755-2641156",Bhopal
"Centre For Sight","Kutchery Road, Deputy Para, Ahirtoli, Ranchi, Jharkhand-834001",Ranchi
"Bansal Medical Services (Unit Of Bansal Medilab Pvt.Ltd.)","Rampuria Building, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023",Kolkata
"Sankar Foundation Eye Institute, Maddilapalem Visakhapatnam","H.No. 9-36-1, Near Kalabharathi Auditorium, Pithapuram Colony, Maddilapalem, Visakhapatnam-530013   Tel No. 0891 - 2784299, 9666988445	maddilapalem.sankarfoundation@gmail.com                          ",Hyderabad
"Kenia Dental Hospital","1st Floor, Rizvi Nagar, Next to Milan, Milan Subway, S.V.Road, Santacruz,
Mumbai-400054, 022-26144013/38088",Mumbai
"Dr. Manjeet Institute Of Critical Care(Dmicc)","Plot 14, Sec-10, Near RTO Office, Vidhyadhar Nagar, Jaipur ",Jaipur
"Pragati Eye Centre Llp","E-5/5, Krishna Nagar, Delhi-110051",DELHI/HQ/DIRECTORATE/MINISTRY
"Institute Of Brain And Spine","73, Ring Road, Lajpat Nagar3, New Delhi110024. Tel. No. 01143210000.",DELHI/HQ/DIRECTORATE/MINISTRY
"Chandigarh Clinical Laboratories","SCF No. 9, Sector 16-D, Chandigarh",Chandigarh
"Tulsi Hospitals Ltd.","14/116-A, Civil Lines, Kanpur. Ph. 9598060511 & 12
E-mail : tulsihospitalsltd@gmail.com",Kanpur
"Shantiniketan Hospital","E- Bldg. Ground Floor, Shantiniketan, L.B.S. Marg, 
Ghatkopar (West), Mumbai 400 086, 022-25001005
022-25001024",Mumbai
"Smile 4 Sure Dental Clinic","Shop No.1, DDA Market, Bank Enclave, Delhi. Tel.No.9873740163.",DELHI/HQ/DIRECTORATE/MINISTRY
"Jivak Dental Clinic","Shop No.11, Sai Sidhi Apt., Opp Shreerath Hotel, Ambernath (East)-421501, 0251-2607379",Mumbai
"Jaiswal Hospital And Neuro Institute","1 KA 28 Vigyan Nagar Kota",Jaipur
"Rastogi Dental Clinic","Chanakaya Tower, Shop No.4, Dilaram Bazaar Rajpur  Road Dehradun",Dehradun
